"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"26.966685069316647","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000292035","false","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000292035","0.076",,,"0.883",,,,"0.894","0.091"
"70.94503274503275","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000410294",,,"0.5",,,,,"0.499",
"13.426273726273728","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000301067","false","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000301067","0.042",,"0.5",,,,,"0.517","0.074"
"26.966685069316647","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000481733","0.06",,,"0.897",,,,"0.905","0.1"
"19.536013986013984","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000392028","false","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000392028","0.049",,,"0.297",,,,"0.406","0.184"
"25.93811364074522","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000297347","false","pp","9606.ENSP00000272645 (pp) 9606.ENSP00000297347","0.104",,,"0.849",,,,"0.873","0.141"
"21.252380952380953","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000215829","false","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000215829","0.058",,"0.9","0.97",,,,"0.997","0.159"
"2.0","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000412566","false","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000412566","0.099",,"0.9","0.966",,,,"0.996",
"2.0","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000199814","false","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000199814","0.074",,"0.9","0.99",,,,"0.999","0.288"
"2.0","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000318861","false","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000318861","0.084",,,"0.8",,,,"0.808",
"2.0","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000216252","false","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000216252","0.064",,,"0.8",,,,"0.804",
"45.98095238095239","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000392094","0.217",,"0.9","0.997",,,,"0.999","0.479"
"2.0","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000221494","false","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000221494","0.057",,,"0.879",,,,"0.883","0.063"
"8.766666666666667","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000215793","false","pp","9606.ENSP00000156471 (pp) 9606.ENSP00000215793","0.155",,,"0.832",,,,"0.88","0.222"
"86.0","pp","9606.ENSP00000355988 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000355988 (pp) 9606.ENSP00000410294","0.083",,,"0.045",,,,"0.415","0.386"
"2.0","pp","9606.ENSP00000426083 (pp) 9606.ENSP00000440689","false","pp","9606.ENSP00000426083 (pp) 9606.ENSP00000440689","0.132",,"0.9",,,,"0.042","0.965","0.637"
"16.628195488721786","pp","9606.ENSP00000417235 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000417235 (pp) 9606.ENSP00000481733",,,"0.54","0.787",,,,"0.94","0.437"
"58.0","pp","9606.ENSP00000242261 (pp) 9606.ENSP00000392028","false","pp","9606.ENSP00000242261 (pp) 9606.ENSP00000392028",,,,,,,,"0.612","0.612"
"23.75","pp","9606.ENSP00000242261 (pp) 9606.ENSP00000323588","false","pp","9606.ENSP00000242261 (pp) 9606.ENSP00000323588","0.075",,"0.4","0.296",,,,"0.882","0.735"
"14.15","pp","9606.ENSP00000242261 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000242261 (pp) 9606.ENSP00000410294","0.057",,,,,,,"0.88","0.878"
"7.3","pp","9606.ENSP00000242261 (pp) 9606.ENSP00000334122","false","pp","9606.ENSP00000242261 (pp) 9606.ENSP00000334122","0.067",,,,,,,"0.416","0.401"
"45.98095238095238","pp","9606.ENSP00000392094 (pp) 9606.ENSP00000412566","false","pp","9606.ENSP00000392094 (pp) 9606.ENSP00000412566","0.245",,"0.9","0.98",,,,"0.999","0.543"
"82.0","pp","9606.ENSP00000313490 (pp) 9606.ENSP00000371253","false","pp","9606.ENSP00000313490 (pp) 9606.ENSP00000371253","0.23",,"0.926","0.456","0.023",,,"0.999","0.977"
"8.887395937395937","pp","9606.ENSP00000363193 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000363193 (pp) 9606.ENSP00000481733",,,"0.9","0.994",,,,"0.999","0.547"
"11.790126540126538","pp","9606.ENSP00000363193 (pp) 9606.ENSP00000370938","false","pp","9606.ENSP00000363193 (pp) 9606.ENSP00000370938","0.067",,"0.9","0.931",,,,"0.999","0.999"
