EdgeBetweenness,interaction,name,selected,shared interaction,shared name,stringdb::coexpression,stringdb::cooccurrence,stringdb::databases,stringdb::experiments,stringdb::fusion,stringdb::interspecies,stringdb::neighborhood,stringdb::score,stringdb::textmining,source,target
26.966685069316643,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000272645,false,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000272645,0.597,,,0.888,,,,0.959,0.168,9606.ENSP00000258648,9606.ENSP00000272645
8.887395937395938,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000363193,false,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000363193,0.217,,0.9,0.994,,,,0.999,0.667,9606.ENSP00000258648,9606.ENSP00000363193
2.7,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000297347,false,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000297347,0.434,,0.9,0.968,,,,0.999,0.666,9606.ENSP00000258648,9606.ENSP00000297347
73.42297702297704,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000392028,false,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000392028,0.078,,,0.607,,,,0.86,0.645,9606.ENSP00000323588,9606.ENSP00000392028
35.74761904761905,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000334122,false,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000334122,0.06,,,,,,,0.61,0.603,9606.ENSP00000323588,9606.ENSP00000334122
41.33422133422134,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000410294,false,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000410294,0.111,,,,,,,0.512,0.474,9606.ENSP00000323588,9606.ENSP00000410294
77.1190476190476,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000355094,false,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000355094,0.081,,,0.292,,,,0.504,0.3,9606.ENSP00000323588,9606.ENSP00000355094
14.742424242424242,pp,9606.ENSP00000301019 (pp) 9606.ENSP00000441953,false,pp,9606.ENSP00000301019 (pp) 9606.ENSP00000441953,0.099,,0.8,0.966,,,,0.999,0.93,9606.ENSP00000301019,9606.ENSP00000441953
38.882683982683986,pp,9606.ENSP00000392028 (pp) 9606.ENSP00000410294,false,pp,9606.ENSP00000392028 (pp) 9606.ENSP00000410294,,,,0.053,,,,0.475,0.469,9606.ENSP00000392028,9606.ENSP00000410294
147.3652347652348,pp,9606.ENSP00000392028 (pp) 9606.ENSP00000392094,false,pp,9606.ENSP00000392028 (pp) 9606.ENSP00000392094,0.061,,,0.095,,,,0.446,0.401,9606.ENSP00000392028,9606.ENSP00000392094
